case_id,country,date,state,court_name,age,gender,race_ethnicity,income_level,annual_income_usd,crime_type,severity_category,prior_cases,legal_representation,location_type,bail_amount_usd,pretrial_detention_days,bail_granted
CASE_4072,USA,2024-02-09,California,Superior Court of California,48,Female,Hispanic,High,102494,Fraud,Low,4,Yes,Urban,5950,98,1
CASE_4073,USA,2023-09-01,California,Superior Court of California,48,Female,Asian,High,457785,Fraud,Medium,5,No,Rural,13059,95,0
CASE_4074,USA,2022-01-13,Texas,Harris County District Court,49,Male,Asian,Low,22043,Theft,Low,3,Yes,Urban,3454,405,1
CASE_4075,USA,2023-06-04,New York,New York City Criminal Court,42,Female,Black,Low,33354,Assault,Medium,0,No,Rural,9705,414,0
CASE_4076,USA,2022-02-18,Texas,Harris County District Court,27,Female,Native American,High,277851,Theft,Medium,0,No,Urban,16334,253,1
CASE_4077,USA,2023-05-17,New York,New York City Criminal Court,46,Female,Native American,Low,24642,Theft,Medium,4,No,Urban,20410,304,1
CASE_4078,USA,2022-06-13,New York,New York City Criminal Court,44,Male,Black,Low,33208,Theft,Low,5,Yes,Rural,4219,362,1
CASE_4079,USA,2024-02-24,California,Superior Court of California,35,Male,Asian,Medium,76184,Assault,Low,3,No,Rural,2260,207,1
CASE_4080,USA,2023-12-11,Arizona,Maricopa County Superior Court,25,Male,Hispanic,Low,18227,Fraud,Medium,3,Yes,Urban,29045,486,1
CASE_4081,USA,2023-07-14,Illinois,Cook County Circuit Court,55,Female,Asian,Low,15053,WhiteCollar,Low,1,Yes,Urban,3335,308,1
CASE_4082,USA,2023-02-04,Illinois,Cook County Circuit Court,40,Female,Asian,Low,30445,Fraud,High,0,No,Rural,69384,254,0
CASE_4083,USA,2023-05-30,Arizona,Maricopa County Superior Court,43,Male,Asian,Low,20414,Fraud,High,2,No,Urban,127513,297,0
CASE_4084,USA,2022-12-26,New York,New York City Criminal Court,33,Male,Hispanic,Low,20675,Theft,Medium,3,Yes,Urban,10119,271,0
CASE_4085,USA,2023-11-04,California,Superior Court of California,40,Female,Asian,High,221193,WhiteCollar,High,3,No,Urban,60127,363,0
CASE_4086,USA,2023-10-04,New York,New York City Criminal Court,23,Female,Hispanic,Low,34337,Assault,Medium,1,No,Rural,24571,378,1
CASE_4087,USA,2024-02-16,Arizona,Maricopa County Superior Court,44,Male,Hispanic,Low,19075,Theft,Low,0,No,Urban,6415,298,1
CASE_4088,USA,2024-02-06,California,Superior Court of California,67,Male,Asian,High,168933,Fraud,Medium,5,No,Rural,10440,72,1
CASE_4089,USA,2023-01-02,California,Superior Court of California,50,Male,Hispanic,Low,21802,WhiteCollar,Low,0,No,Urban,4043,348,1
CASE_4090,USA,2023-03-09,California,Superior Court of California,59,Male,Black,Low,18569,Theft,Medium,3,Yes,Urban,20172,191,0
CASE_4091,USA,2022-11-11,Arizona,Maricopa County Superior Court,31,Male,Asian,High,448807,Theft,High,0,Yes,Urban,90779,279,1
CASE_4092,USA,2023-09-20,Texas,Harris County District Court,48,Female,White,Low,19815,Theft,High,3,No,Rural,82297,163,0
CASE_4093,USA,2022-12-25,Texas,Harris County District Court,49,Male,White,High,113602,Theft,High,3,No,Rural,56709,215,1
CASE_4094,USA,2023-08-09,Arizona,Maricopa County Superior Court,54,Female,Hispanic,Low,29602,Fraud,Low,0,No,Rural,2539,283,1
CASE_4095,USA,2022-04-18,Texas,Harris County District Court,30,Female,Black,Low,18425,Theft,Medium,2,Yes,Rural,22691,121,0
CASE_4096,USA,2023-12-23,California,Superior Court of California,38,Female,Native American,Low,34215,Theft,Medium,4,Yes,Rural,11476,101,0
CASE_4097,USA,2023-12-28,Illinois,Cook County Circuit Court,31,Male,Native American,Low,28607,WhiteCollar,Low,3,Yes,Urban,4559,276,1
CASE_4098,USA,2022-06-27,Illinois,Cook County Circuit Court,46,Male,Native American,High,291215,Theft,High,2,No,Rural,52933,212,0
CASE_4099,USA,2023-01-27,California,Superior Court of California,70,Female,Black,Low,22354,Assault,Low,0,Yes,Urban,1876,157,1
CASE_4100,USA,2022-01-22,New York,New York City Criminal Court,62,Female,White,Low,26943,WhiteCollar,High,2,No,Urban,39573,115,0
CASE_4101,USA,2023-03-15,Illinois,Cook County Circuit Court,27,Female,Hispanic,High,483277,Theft,Low,1,No,Rural,662,215,1
CASE_4102,USA,2024-01-12,California,Superior Court of California,22,Male,Asian,Medium,40724,Assault,High,5,Yes,Rural,134717,213,0
CASE_4103,USA,2023-06-28,Texas,Harris County District Court,46,Female,Asian,Low,27526,Theft,Low,5,No,Rural,5140,173,0
CASE_4104,USA,2023-07-15,Illinois,Cook County Circuit Court,40,Male,Black,High,367705,Theft,High,3,Yes,Rural,124272,363,0
CASE_4105,USA,2023-08-06,Illinois,Cook County Circuit Court,35,Male,Native American,High,193501,WhiteCollar,Medium,3,Yes,Urban,19760,25,1
CASE_4106,USA,2023-09-10,California,Superior Court of California,24,Male,Native American,Medium,42668,Fraud,High,2,No,Urban,28140,307,1
CASE_4107,USA,2023-09-16,California,Superior Court of California,66,Male,White,Medium,60852,Theft,Medium,3,No,Rural,9194,271,1
CASE_4108,USA,2023-06-01,California,Superior Court of California,36,Male,Hispanic,Low,21713,WhiteCollar,Low,4,No,Rural,3296,546,1
CASE_4109,USA,2022-08-05,Arizona,Maricopa County Superior Court,58,Female,Asian,Low,26936,Theft,High,2,Yes,Rural,69488,58,1
CASE_4110,USA,2022-11-18,California,Superior Court of California,61,Female,Black,Medium,67026,Fraud,High,4,Yes,Rural,63970,389,0
CASE_4111,USA,2022-07-10,Texas,Harris County District Court,46,Female,Black,Medium,62455,Theft,Medium,2,No,Urban,20016,310,1
CASE_4112,USA,2022-11-30,Arizona,Maricopa County Superior Court,62,Male,White,Low,32819,WhiteCollar,Low,5,Yes,Rural,689,143,1
CASE_4113,USA,2022-06-10,New York,New York City Criminal Court,49,Female,Native American,Low,16478,Assault,Medium,4,Yes,Urban,21555,178,0
CASE_4114,USA,2022-02-25,Illinois,Cook County Circuit Court,70,Male,White,Medium,40950,Theft,High,4,Yes,Urban,84448,134,1
CASE_4115,USA,2023-08-02,California,Superior Court of California,19,Female,Black,Low,29259,Assault,High,2,No,Rural,108111,264,1
CASE_4116,USA,2023-01-03,New York,New York City Criminal Court,51,Female,White,Medium,74654,Assault,High,4,No,Urban,92674,306,0
CASE_4117,USA,2022-06-25,California,Superior Court of California,61,Female,Asian,Medium,68323,Theft,Medium,0,No,Urban,13265,297,1
CASE_4118,USA,2022-09-25,New York,New York City Criminal Court,63,Female,Native American,Low,25798,Fraud,High,2,Yes,Rural,155397,169,0
CASE_4119,USA,2022-03-04,California,Superior Court of California,38,Male,Black,Medium,39332,WhiteCollar,High,2,No,Urban,63821,387,0
CASE_4120,USA,2022-05-12,Arizona,Maricopa County Superior Court,61,Female,Native American,Low,16339,WhiteCollar,Medium,3,No,Rural,27372,341,0
CASE_4121,USA,2022-01-30,Illinois,Cook County Circuit Court,61,Male,Hispanic,Medium,82981,Fraud,Low,0,No,Urban,2424,218,1
CASE_4122,USA,2022-08-15,Arizona,Maricopa County Superior Court,55,Female,Black,Medium,36559,WhiteCollar,Low,1,Yes,Rural,2272,254,1
CASE_4123,USA,2023-08-22,California,Superior Court of California,67,Male,Hispanic,Medium,73157,WhiteCollar,Low,3,Yes,Rural,3763,100,1
CASE_4124,USA,2023-06-05,California,Superior Court of California,20,Male,Hispanic,High,460724,Fraud,High,4,Yes,Urban,48591,240,0
CASE_4125,USA,2022-10-11,New York,New York City Criminal Court,35,Male,Asian,Low,16631,Theft,Medium,0,No,Rural,20452,407,1
CASE_4126,USA,2022-02-22,Arizona,Maricopa County Superior Court,61,Female,Black,Medium,57749,Assault,Low,0,No,Urban,4546,341,1
CASE_4127,USA,2023-02-20,California,Superior Court of California,34,Female,Hispanic,Medium,39277,Theft,High,5,No,Rural,34420,267,0
CASE_4128,USA,2023-04-15,California,Superior Court of California,34,Female,Hispanic,Low,17138,Fraud,Medium,2,No,Urban,7866,329,0
CASE_4129,USA,2023-06-23,Illinois,Cook County Circuit Court,40,Female,Native American,Low,28303,Theft,Low,5,No,Urban,1897,321,0
CASE_4130,USA,2024-02-12,California,Superior Court of California,45,Male,Native American,Low,29893,Theft,Low,3,Yes,Urban,1927,233,1
CASE_4131,USA,2023-11-17,New York,New York City Criminal Court,30,Female,Hispanic,Medium,63220,Theft,Medium,3,Yes,Rural,6644,208,1
CASE_4132,USA,2024-02-20,Texas,Harris County District Court,49,Male,Hispanic,High,324900,WhiteCollar,Low,3,No,Rural,3899,380,1
CASE_4133,USA,2023-11-30,Illinois,Cook County Circuit Court,18,Female,Black,Medium,42229,Fraud,High,0,Yes,Urban,140499,111,1
CASE_4134,USA,2023-02-11,Illinois,Cook County Circuit Court,46,Female,White,Medium,69649,Fraud,High,0,Yes,Rural,69292,314,1
CASE_4135,USA,2022-07-28,Texas,Harris County District Court,21,Male,Asian,Low,25939,Assault,High,1,No,Urban,82076,284,0
CASE_4136,USA,2022-09-05,New York,New York City Criminal Court,28,Male,White,Low,20391,WhiteCollar,Medium,2,No,Rural,18339,367,0
CASE_4137,USA,2022-06-01,California,Superior Court of California,18,Male,Asian,Low,24887,Fraud,Medium,4,Yes,Rural,21719,235,1
CASE_4138,USA,2023-09-13,Texas,Harris County District Court,59,Female,Hispanic,High,364825,Assault,Medium,1,No,Urban,7791,136,1
CASE_4139,USA,2022-04-04,California,Superior Court of California,34,Female,White,High,122839,Theft,Low,1,Yes,Urban,1909,87,1
CASE_4140,USA,2022-01-09,Texas,Harris County District Court,60,Male,Hispanic,Low,23347,WhiteCollar,Medium,5,No,Urban,25722,446,0
CASE_4141,USA,2023-03-09,Illinois,Cook County Circuit Court,30,Female,Hispanic,Low,24847,Theft,Low,0,No,Urban,1001,285,1
CASE_4142,USA,2023-05-12,California,Superior Court of California,32,Female,Native American,High,291362,Fraud,Low,3,No,Rural,3450,252,1
CASE_4143,USA,2022-11-08,Arizona,Maricopa County Superior Court,29,Male,Black,Low,21054,Assault,High,1,No,Urban,40651,407,1
CASE_4144,USA,2023-08-14,New York,New York City Criminal Court,59,Male,Native American,Low,25242,Assault,Medium,3,No,Rural,22714,158,0
CASE_4145,USA,2023-03-19,Illinois,Cook County Circuit Court,39,Female,Hispanic,High,271556,Theft,High,2,Yes,Rural,169030,118,1
CASE_4146,USA,2023-05-04,Arizona,Maricopa County Superior Court,22,Female,Asian,High,444272,WhiteCollar,High,4,No,Urban,143879,406,0
CASE_4147,USA,2023-12-06,New York,New York City Criminal Court,51,Male,Black,Low,32505,Theft,High,1,Yes,Urban,111959,237,0
CASE_4148,USA,2024-02-15,Illinois,Cook County Circuit Court,42,Male,Native American,Low,16441,Assault,Medium,0,No,Rural,25652,258,1
CASE_4149,USA,2022-12-16,California,Superior Court of California,42,Male,White,Low,29083,WhiteCollar,High,0,Yes,Rural,166714,123,1
CASE_4150,USA,2022-03-31,Arizona,Maricopa County Superior Court,57,Female,White,High,333440,Theft,High,2,Yes,Urban,145343,3,1
CASE_4151,USA,2022-03-30,Texas,Harris County District Court,25,Female,Black,High,340968,Fraud,Low,0,No,Urban,5483,176,1
CASE_4152,USA,2023-03-14,Illinois,Cook County Circuit Court,20,Male,Asian,Medium,60537,Theft,Low,3,Yes,Urban,4392,83,1
CASE_4153,USA,2024-01-06,Texas,Harris County District Court,30,Female,Native American,Low,25606,Fraud,High,0,No,Rural,53097,184,0
CASE_4154,USA,2022-07-09,Arizona,Maricopa County Superior Court,42,Male,Asian,Medium,38824,Assault,Low,3,No,Urban,3058,75,0
CASE_4155,USA,2023-03-24,Texas,Harris County District Court,58,Male,White,Low,17568,WhiteCollar,High,5,No,Rural,97343,129,0
CASE_4156,USA,2022-02-06,New York,New York City Criminal Court,23,Male,Hispanic,Low,24322,WhiteCollar,High,3,No,Urban,159392,222,0
CASE_4157,USA,2022-08-06,Illinois,Cook County Circuit Court,51,Female,Hispanic,Low,34369,WhiteCollar,Medium,5,Yes,Urban,9742,352,0
CASE_4158,USA,2022-10-04,New York,New York City Criminal Court,59,Male,Hispanic,High,366107,Theft,Medium,4,Yes,Rural,16943,79,0
CASE_4159,USA,2023-01-04,Illinois,Cook County Circuit Court,46,Female,Black,Low,28942,Theft,High,1,No,Rural,65951,413,0
CASE_4160,USA,2022-03-06,Illinois,Cook County Circuit Court,25,Male,Asian,Medium,62434,WhiteCollar,Medium,2,No,Rural,20516,337,1
CASE_4161,USA,2023-06-16,Illinois,Cook County Circuit Court,29,Female,White,High,389867,Fraud,Medium,5,No,Rural,16385,286,1
CASE_4162,USA,2023-05-05,New York,New York City Criminal Court,32,Female,Black,Low,15332,WhiteCollar,Medium,5,Yes,Urban,15392,143,1
CASE_4163,USA,2023-08-25,Arizona,Maricopa County Superior Court,22,Male,White,Low,19488,Assault,High,3,No,Rural,163793,436,0
CASE_4164,USA,2023-08-18,Arizona,Maricopa County Superior Court,51,Female,White,Low,31919,WhiteCollar,High,0,No,Urban,42721,399,0
CASE_4165,USA,2022-09-18,California,Superior Court of California,62,Female,Native American,Low,20685,Theft,Medium,4,No,Urban,18182,244,0
CASE_4166,USA,2022-06-05,Texas,Harris County District Court,34,Female,Hispanic,Low,17614,Assault,Medium,0,Yes,Rural,9878,293,1
CASE_4167,USA,2022-08-12,California,Superior Court of California,19,Female,Asian,High,289853,Theft,Medium,0,Yes,Urban,15813,355,1
CASE_4168,USA,2023-11-13,New York,New York City Criminal Court,41,Male,Black,High,360999,Assault,High,5,No,Rural,181976,432,0
CASE_4169,USA,2022-02-08,New York,New York City Criminal Court,40,Male,Black,Low,19926,Fraud,Medium,0,Yes,Rural,15125,293,1
CASE_4170,USA,2022-11-24,Texas,Harris County District Court,55,Female,Black,Medium,69178,Assault,High,1,Yes,Rural,103149,295,1
CASE_4171,USA,2023-05-20,New York,New York City Criminal Court,34,Female,Native American,Low,17623,Theft,Medium,0,Yes,Urban,16865,224,1
CASE_4172,USA,2022-06-24,Texas,Harris County District Court,26,Male,Hispanic,Medium,89462,Fraud,High,3,No,Urban,44475,451,0
CASE_4173,USA,2023-06-15,Arizona,Maricopa County Superior Court,34,Female,White,High,139449,Assault,Low,2,Yes,Rural,1282,125,1
CASE_4174,USA,2023-11-25,Illinois,Cook County Circuit Court,65,Female,Asian,Low,21360,Fraud,Medium,0,Yes,Urban,7506,319,1
CASE_4175,USA,2022-07-18,California,Superior Court of California,62,Female,Asian,High,219192,Assault,Medium,5,Yes,Rural,21719,26,0
CASE_4176,USA,2022-11-29,California,Superior Court of California,59,Male,Hispanic,Medium,46049,Theft,Medium,1,No,Rural,6902,192,0
CASE_4177,USA,2022-10-27,Illinois,Cook County Circuit Court,54,Female,Black,Low,19436,Theft,Low,2,Yes,Urban,4274,134,1
CASE_4178,USA,2023-03-11,California,Superior Court of California,26,Female,Native American,Low,28265,Assault,High,4,Yes,Urban,173141,237,0
CASE_4179,USA,2022-07-02,Illinois,Cook County Circuit Court,19,Male,Asian,High,358696,Theft,Medium,2,Yes,Rural,10051,18,1
CASE_4180,USA,2023-04-13,California,Superior Court of California,68,Female,Native American,Low,19067,Fraud,Low,4,No,Rural,3412,407,1
CASE_4181,USA,2022-09-25,Arizona,Maricopa County Superior Court,48,Male,Black,Medium,75408,Theft,High,2,Yes,Rural,111280,66,1
CASE_4182,USA,2022-12-09,Arizona,Maricopa County Superior Court,33,Female,Black,Low,30404,WhiteCollar,Low,2,No,Urban,2156,437,1
CASE_4183,USA,2023-06-05,Arizona,Maricopa County Superior Court,67,Female,White,Low,24009,WhiteCollar,Medium,3,Yes,Urban,6948,83,1
CASE_4184,USA,2023-05-14,Texas,Harris County District Court,50,Female,Asian,Medium,42622,WhiteCollar,Medium,3,No,Urban,17436,221,1
CASE_4185,USA,2022-07-14,New York,New York City Criminal Court,54,Female,Native American,Low,16816,Assault,Medium,4,No,Rural,21050,449,1
CASE_4186,USA,2022-01-22,California,Superior Court of California,52,Male,Hispanic,Low,24536,Fraud,Low,3,No,Urban,6878,510,0
CASE_4187,USA,2023-03-02,California,Superior Court of California,42,Male,Hispanic,Low,29078,WhiteCollar,Medium,3,Yes,Rural,31836,390,1
CASE_4188,USA,2022-12-06,Texas,Harris County District Court,65,Male,Native American,Medium,81964,Assault,Low,4,No,Rural,2349,84,0
CASE_4189,USA,2022-05-21,California,Superior Court of California,53,Male,White,Low,22341,Fraud,Medium,0,No,Rural,9987,296,1
CASE_4190,USA,2022-11-08,California,Superior Court of California,42,Male,Native American,High,409265,Assault,Low,4,Yes,Rural,3449,153,0
CASE_4191,USA,2022-10-08,Arizona,Maricopa County Superior Court,44,Female,Black,Medium,53230,WhiteCollar,Medium,4,No,Urban,16759,78,0
CASE_4192,USA,2022-10-07,Illinois,Cook County Circuit Court,70,Female,Native American,Medium,63384,Theft,Medium,4,Yes,Rural,23507,190,1
CASE_4193,USA,2022-09-22,Illinois,Cook County Circuit Court,53,Female,Native American,Medium,80848,Fraud,Low,4,No,Rural,2286,100,0
CASE_4194,USA,2022-02-26,Arizona,Maricopa County Superior Court,52,Female,White,High,218290,Assault,Low,5,Yes,Urban,4494,203,1
CASE_4195,USA,2022-11-22,New York,New York City Criminal Court,25,Male,Hispanic,High,161891,WhiteCollar,High,3,No,Urban,132845,143,0
CASE_4196,USA,2024-02-23,Texas,Harris County District Court,32,Female,Native American,Low,24655,Fraud,Low,2,Yes,Rural,1655,167,1
CASE_4197,USA,2023-02-09,California,Superior Court of California,58,Female,White,Medium,71812,WhiteCollar,Low,0,No,Urban,2866,167,1
CASE_4198,USA,2022-03-28,New York,New York City Criminal Court,43,Female,Native American,Low,29344,Assault,High,4,No,Urban,156325,402,0
