case_id,country,date,country_region,court_name,court_type,age,gender,ethnicity,income_level,annual_income_gbp,crime_type,severity_category,prior_cases,legal_representation,location_type,bail_amount_gbp,remand_days,bail_granted
CASE_5061,UK,2023-10-24,Wales,Cardiff Crown Court,Crown Court,62,Female,Asian British,Low,12118,WhiteCollar,High,3,No,Rural,80310,294,0
CASE_5062,UK,2022-03-04,England,Westminster Magistrates' Court,Magistrates Court,36,Male,Black British,Medium,33763,Theft,Low,1,Yes,Urban,995,100,1
CASE_5063,UK,2022-09-16,England,Manchester Crown Court,Crown Court,66,Female,Other,Low,10816,Fraud,High,0,No,Urban,51808,128,1
CASE_5064,UK,2023-11-24,Wales,Cardiff Crown Court,Crown Court,18,Male,Black British,Low,10603,WhiteCollar,Low,0,No,Rural,380,140,1
CASE_5065,UK,2022-08-31,England,Westminster Magistrates' Court,Magistrates Court,60,Female,Black British,Medium,30442,Assault,High,5,Yes,Rural,75676,177,0
CASE_5066,UK,2022-04-10,England,Birmingham Magistrates' Court,Magistrates Court,44,Male,Black British,High,252828,Assault,Low,0,Yes,Rural,474,88,1
CASE_5067,UK,2022-11-11,England,Birmingham Magistrates' Court,Magistrates Court,50,Female,Other,High,106771,Theft,Low,3,No,Rural,228,96,1
CASE_5068,UK,2024-02-07,England,Manchester Crown Court,Crown Court,67,Male,White British,Low,17062,WhiteCollar,High,4,Yes,Urban,17177,162,0
CASE_5069,UK,2022-02-17,Wales,Cardiff Crown Court,Crown Court,46,Female,Other,Medium,43149,WhiteCollar,Medium,1,Yes,Urban,4759,4,0
CASE_5070,UK,2022-06-05,England,Manchester Crown Court,Crown Court,55,Female,Mixed,Medium,26485,Fraud,Medium,5,No,Rural,9739,126,0
CASE_5071,UK,2022-01-01,England,Manchester Crown Court,Crown Court,68,Male,Mixed,High,241111,Fraud,High,1,No,Rural,35788,72,1
CASE_5072,UK,2023-07-15,England,Manchester Crown Court,Crown Court,37,Male,Black British,High,139786,WhiteCollar,Medium,4,Yes,Urban,10419,177,1
CASE_5073,UK,2022-06-29,Scotland,Glasgow Sheriff Court,Magistrates Court,27,Female,White British,Low,8266,Fraud,Low,0,Yes,Urban,1164,148,1
CASE_5074,UK,2023-07-03,Scotland,Glasgow Sheriff Court,Magistrates Court,35,Female,Asian British,Medium,47258,WhiteCollar,High,3,No,Urban,29237,180,0
CASE_5075,UK,2022-01-13,England,Manchester Crown Court,Crown Court,60,Female,Other,High,65292,Fraud,Low,1,Yes,Rural,1928,144,1
CASE_5076,UK,2023-10-05,England,Manchester Crown Court,Crown Court,19,Female,White British,Low,11882,WhiteCollar,Medium,3,Yes,Rural,14901,190,1
CASE_5077,UK,2023-10-11,England,Manchester Crown Court,Crown Court,52,Male,Other,Medium,40370,Fraud,Low,0,Yes,Urban,1338,87,1
CASE_5078,UK,2023-01-28,England,Westminster Magistrates' Court,Magistrates Court,33,Female,White British,Low,8074,WhiteCollar,Low,5,Yes,Rural,1857,227,1
CASE_5079,UK,2022-03-03,England,Westminster Magistrates' Court,Magistrates Court,69,Female,White British,Medium,30470,Fraud,High,2,Yes,Rural,47070,121,0
CASE_5080,UK,2023-11-04,England,Westminster Magistrates' Court,Magistrates Court,26,Male,Other,Medium,35569,WhiteCollar,Low,2,No,Rural,722,195,0
CASE_5081,UK,2023-09-25,England,Westminster Magistrates' Court,Magistrates Court,58,Female,Asian British,Medium,36291,Theft,Medium,5,No,Urban,13549,104,0
CASE_5082,UK,2023-05-09,England,Westminster Magistrates' Court,Magistrates Court,46,Female,Black British,Low,15972,Assault,Low,3,Yes,Urban,1523,204,1
CASE_5083,UK,2022-12-30,Wales,Cardiff Crown Court,Crown Court,36,Male,Other,Low,15534,Fraud,Low,1,Yes,Rural,291,112,1
CASE_5084,UK,2024-02-28,England,Manchester Crown Court,Crown Court,67,Female,Other,High,189400,Assault,Low,3,No,Urban,409,68,1
CASE_5085,UK,2022-11-05,England,Manchester Crown Court,Crown Court,44,Male,Mixed,Medium,38865,Fraud,Low,3,No,Rural,662,65,1
CASE_5086,UK,2022-06-16,England,Manchester Crown Court,Crown Court,49,Male,Asian British,High,148886,Theft,High,1,Yes,Rural,32254,60,0
CASE_5087,UK,2022-11-08,England,Birmingham Magistrates' Court,Magistrates Court,22,Male,Mixed,High,162776,Fraud,Medium,3,No,Rural,5250,68,0
CASE_5088,UK,2022-04-23,England,Manchester Crown Court,Crown Court,35,Male,White British,Medium,38947,WhiteCollar,Medium,1,No,Urban,7503,165,1
CASE_5089,UK,2024-02-17,Scotland,Glasgow Sheriff Court,Magistrates Court,26,Male,Mixed,High,186696,WhiteCollar,Low,1,No,Rural,1131,106,1
CASE_5090,UK,2024-02-26,Scotland,Glasgow Sheriff Court,Magistrates Court,66,Female,White British,High,88397,Theft,Medium,3,Yes,Rural,5934,41,1
CASE_5091,UK,2022-10-22,Scotland,Glasgow Sheriff Court,Magistrates Court,36,Female,Other,Medium,25691,WhiteCollar,Medium,0,No,Urban,3428,164,1
CASE_5092,UK,2023-10-12,England,Westminster Magistrates' Court,Magistrates Court,31,Male,White British,Medium,38450,WhiteCollar,Low,1,No,Urban,229,59,1
CASE_5093,UK,2022-08-23,Scotland,Glasgow Sheriff Court,Magistrates Court,57,Male,White British,High,238844,Fraud,Medium,3,Yes,Rural,14844,55,1
CASE_5094,UK,2023-12-26,Wales,Cardiff Crown Court,Crown Court,60,Male,Other,Low,17445,Theft,High,4,Yes,Rural,22847,166,0
CASE_5095,UK,2022-09-08,England,Birmingham Magistrates' Court,Magistrates Court,54,Female,Asian British,High,58458,Assault,High,2,No,Urban,45293,204,0
CASE_5096,UK,2022-04-23,England,Birmingham Magistrates' Court,Magistrates Court,31,Female,White British,Medium,50285,WhiteCollar,High,0,Yes,Rural,39108,129,1
CASE_5097,UK,2022-10-05,Wales,Cardiff Crown Court,Crown Court,49,Male,Mixed,High,167253,Fraud,High,4,Yes,Rural,54522,1,0
CASE_5098,UK,2024-02-21,Scotland,Glasgow Sheriff Court,Magistrates Court,59,Male,Asian British,Low,15885,Theft,Low,2,Yes,Urban,1463,91,0
CASE_5099,UK,2024-01-02,England,Birmingham Magistrates' Court,Magistrates Court,55,Female,Other,Low,16444,Assault,High,5,No,Rural,20368,113,0
CASE_5100,UK,2024-02-09,Wales,Cardiff Crown Court,Crown Court,39,Male,Other,Low,14182,Assault,High,4,No,Urban,17523,255,0
CASE_5101,UK,2022-08-08,England,Manchester Crown Court,Crown Court,34,Male,Asian British,High,259243,WhiteCollar,Medium,4,No,Urban,11068,156,0
CASE_5102,UK,2023-11-15,Scotland,Glasgow Sheriff Court,Magistrates Court,50,Female,White British,Low,15008,Theft,Medium,5,No,Rural,10884,219,0
CASE_5103,UK,2022-04-25,Scotland,Glasgow Sheriff Court,Magistrates Court,22,Male,White British,Low,18074,WhiteCollar,High,2,No,Rural,37644,47,0
CASE_5104,UK,2023-09-03,Wales,Cardiff Crown Court,Crown Court,58,Female,Black British,Low,9445,WhiteCollar,Low,5,Yes,Rural,989,42,1
CASE_5105,UK,2023-06-16,England,Birmingham Magistrates' Court,Magistrates Court,69,Female,Mixed,High,57168,Theft,High,3,Yes,Rural,30578,85,0
CASE_5106,UK,2022-05-15,Wales,Cardiff Crown Court,Crown Court,57,Female,Black British,Low,17328,Fraud,Low,3,Yes,Urban,257,150,1
CASE_5107,UK,2022-08-17,England,Birmingham Magistrates' Court,Magistrates Court,47,Female,Other,High,223485,WhiteCollar,Medium,2,No,Rural,4318,58,1
CASE_5108,UK,2022-05-30,Wales,Cardiff Crown Court,Crown Court,59,Female,Asian British,Medium,30242,Theft,Medium,1,Yes,Rural,11852,155,1
CASE_5109,UK,2022-02-07,Wales,Cardiff Crown Court,Crown Court,31,Female,Black British,Low,15831,WhiteCollar,Medium,0,Yes,Urban,11446,201,1
CASE_5110,UK,2022-05-07,England,Birmingham Magistrates' Court,Magistrates Court,63,Male,Black British,Medium,42948,WhiteCollar,Low,4,Yes,Rural,2563,172,1
CASE_5111,UK,2023-07-15,England,Manchester Crown Court,Crown Court,41,Male,Asian British,Medium,51812,Fraud,High,0,Yes,Urban,19914,110,1
CASE_5112,UK,2022-03-05,Wales,Cardiff Crown Court,Crown Court,59,Male,White British,Medium,50343,WhiteCollar,High,5,No,Rural,37092,122,0
CASE_5113,UK,2022-12-06,England,Birmingham Magistrates' Court,Magistrates Court,43,Male,Black British,Low,17767,Fraud,Low,2,Yes,Rural,2713,103,1
CASE_5114,UK,2023-10-22,England,Birmingham Magistrates' Court,Magistrates Court,68,Male,Other,Medium,53331,WhiteCollar,High,2,Yes,Urban,48119,12,0
CASE_5115,UK,2022-01-30,England,Westminster Magistrates' Court,Magistrates Court,35,Male,Mixed,High,96960,WhiteCollar,High,3,Yes,Urban,19847,105,1
CASE_5116,UK,2022-09-05,England,Manchester Crown Court,Crown Court,57,Female,Asian British,Medium,35616,Theft,Medium,5,Yes,Urban,7862,157,0
CASE_5117,UK,2023-01-24,England,Westminster Magistrates' Court,Magistrates Court,70,Female,Mixed,Medium,23645,Assault,Medium,0,No,Rural,8306,35,1
CASE_5118,UK,2023-10-15,England,Manchester Crown Court,Crown Court,38,Female,Black British,Low,16932,WhiteCollar,Low,1,Yes,Rural,2315,226,1
CASE_5119,UK,2024-01-18,England,Manchester Crown Court,Crown Court,28,Male,Black British,Low,8430,Fraud,Low,1,Yes,Urban,533,247,1
CASE_5120,UK,2023-04-17,Scotland,Glasgow Sheriff Court,Magistrates Court,47,Female,Other,High,135344,Theft,High,1,No,Rural,29791,30,0
CASE_5121,UK,2022-10-11,England,Manchester Crown Court,Crown Court,62,Female,Asian British,Medium,29493,Theft,High,0,No,Rural,77666,90,1
CASE_5122,UK,2022-06-04,England,Westminster Magistrates' Court,Magistrates Court,25,Female,Mixed,Low,12272,WhiteCollar,Medium,2,Yes,Urban,5200,26,1
CASE_5123,UK,2023-10-13,England,Westminster Magistrates' Court,Magistrates Court,52,Male,White British,High,196279,Fraud,Low,2,Yes,Urban,1810,2,1
CASE_5124,UK,2022-06-24,Scotland,Glasgow Sheriff Court,Magistrates Court,67,Male,Other,Low,13024,Theft,Low,4,Yes,Urban,1370,198,1
CASE_5125,UK,2022-09-21,England,Manchester Crown Court,Crown Court,61,Female,Other,Medium,39959,WhiteCollar,Low,5,No,Urban,2076,130,1
CASE_5126,UK,2023-08-13,Scotland,Glasgow Sheriff Court,Magistrates Court,67,Female,Black British,High,230705,Assault,High,2,No,Urban,54577,159,0
CASE_5127,UK,2022-12-02,England,Birmingham Magistrates' Court,Magistrates Court,58,Female,Other,Low,10892,Fraud,High,2,No,Urban,72180,154,0
CASE_5128,UK,2022-01-23,England,Westminster Magistrates' Court,Magistrates Court,19,Male,Mixed,High,250162,Assault,Medium,3,Yes,Urban,10110,128,1
CASE_5129,UK,2023-04-13,Wales,Cardiff Crown Court,Crown Court,62,Female,Asian British,High,135374,Theft,Low,2,No,Rural,242,100,1
CASE_5130,UK,2023-05-10,England,Manchester Crown Court,Crown Court,42,Female,Black British,High,106862,Theft,Medium,2,Yes,Urban,4007,162,1
CASE_5131,UK,2022-06-21,England,Westminster Magistrates' Court,Magistrates Court,24,Female,Black British,High,68669,WhiteCollar,Low,5,No,Urban,2867,73,1
CASE_5132,UK,2022-02-01,England,Manchester Crown Court,Crown Court,58,Female,Asian British,Low,11337,Fraud,High,2,No,Rural,85581,129,0
CASE_5133,UK,2022-01-04,Scotland,Glasgow Sheriff Court,Magistrates Court,43,Male,Black British,High,177203,WhiteCollar,Medium,5,No,Urban,11649,128,1
CASE_5134,UK,2023-10-29,England,Birmingham Magistrates' Court,Magistrates Court,68,Male,Mixed,Low,11583,Fraud,High,4,No,Urban,63423,129,0
CASE_5135,UK,2023-11-27,England,Manchester Crown Court,Crown Court,26,Female,Black British,Low,11124,Fraud,Low,3,Yes,Rural,2699,154,1
CASE_5136,UK,2022-07-06,Scotland,Glasgow Sheriff Court,Magistrates Court,67,Male,Other,Low,16477,Assault,Low,3,Yes,Rural,1624,234,1
CASE_5137,UK,2022-12-18,England,Manchester Crown Court,Crown Court,25,Male,Asian British,High,164368,WhiteCollar,Medium,4,Yes,Rural,7661,120,1
CASE_5138,UK,2023-08-13,Wales,Cardiff Crown Court,Crown Court,55,Male,Mixed,Medium,24392,Theft,High,4,Yes,Urban,16585,80,0
CASE_5139,UK,2022-02-15,Scotland,Glasgow Sheriff Court,Magistrates Court,32,Female,Other,Medium,42903,Theft,High,4,No,Urban,15839,152,0
CASE_5140,UK,2023-08-23,Wales,Cardiff Crown Court,Crown Court,42,Male,Asian British,Medium,33255,Fraud,High,3,Yes,Urban,77546,23,0
CASE_5141,UK,2022-05-01,England,Manchester Crown Court,Crown Court,51,Male,Black British,Medium,46263,WhiteCollar,Medium,5,Yes,Rural,6605,173,0
CASE_5142,UK,2023-07-24,England,Birmingham Magistrates' Court,Magistrates Court,65,Male,Mixed,High,201260,WhiteCollar,Medium,1,No,Rural,2725,73,1
CASE_5143,UK,2024-01-25,England,Westminster Magistrates' Court,Magistrates Court,49,Male,Mixed,Low,18241,Fraud,High,1,No,Urban,61639,96,0
CASE_5144,UK,2023-09-10,England,Manchester Crown Court,Crown Court,48,Male,Mixed,High,205109,Theft,Medium,4,No,Rural,5014,106,1
CASE_5145,UK,2022-02-07,Scotland,Glasgow Sheriff Court,Magistrates Court,29,Female,Black British,High,59824,WhiteCollar,Low,2,No,Rural,369,77,1
CASE_5146,UK,2022-12-20,England,Westminster Magistrates' Court,Magistrates Court,59,Male,White British,Low,16795,Fraud,Medium,3,No,Rural,10037,162,1
CASE_5147,UK,2022-02-02,Scotland,Glasgow Sheriff Court,Magistrates Court,18,Male,Other,Medium,28315,Fraud,High,3,Yes,Urban,51822,109,0
CASE_5148,UK,2022-04-08,England,Birmingham Magistrates' Court,Magistrates Court,35,Male,Black British,Low,10194,Theft,High,3,Yes,Urban,69300,159,0
CASE_5149,UK,2023-02-24,England,Westminster Magistrates' Court,Magistrates Court,32,Female,White British,Medium,25915,Assault,Low,0,Yes,Rural,1647,49,1
CASE_5150,UK,2024-02-15,Wales,Cardiff Crown Court,Crown Court,26,Female,Other,Medium,46928,Fraud,Low,0,No,Rural,1037,167,1
CASE_5151,UK,2022-02-11,England,Birmingham Magistrates' Court,Magistrates Court,18,Male,Asian British,Medium,49330,Fraud,Low,1,No,Urban,2850,187,1
CASE_5152,UK,2023-04-02,Scotland,Glasgow Sheriff Court,Magistrates Court,59,Male,Black British,High,169087,Assault,High,3,No,Rural,17521,186,0
CASE_5153,UK,2022-02-27,England,Westminster Magistrates' Court,Magistrates Court,44,Male,Asian British,Medium,21754,Theft,Low,0,No,Urban,1912,223,1
CASE_5154,UK,2024-03-07,Scotland,Glasgow Sheriff Court,Magistrates Court,48,Male,Asian British,High,134708,WhiteCollar,Medium,0,No,Rural,12079,135,1
CASE_5155,UK,2022-01-16,Wales,Cardiff Crown Court,Crown Court,53,Female,Other,High,109147,Fraud,High,1,Yes,Urban,24512,120,1
CASE_5156,UK,2023-03-17,England,Westminster Magistrates' Court,Magistrates Court,40,Male,Asian British,Low,9733,Fraud,Low,0,No,Urban,1395,267,1
CASE_5157,UK,2023-06-18,Wales,Cardiff Crown Court,Crown Court,30,Male,Mixed,Low,19119,WhiteCollar,Medium,3,Yes,Rural,11252,96,0
CASE_5158,UK,2023-07-02,England,Birmingham Magistrates' Court,Magistrates Court,35,Female,Other,Low,8664,WhiteCollar,High,0,Yes,Urban,31245,51,0
CASE_5159,UK,2023-03-26,England,Westminster Magistrates' Court,Magistrates Court,60,Female,Black British,Medium,24528,Fraud,Medium,2,No,Rural,12020,92,1
CASE_5160,UK,2022-12-15,Scotland,Glasgow Sheriff Court,Magistrates Court,64,Female,Mixed,Low,14844,WhiteCollar,Low,3,Yes,Urban,1654,96,1
CASE_5161,UK,2024-01-29,Wales,Cardiff Crown Court,Crown Court,55,Female,Other,Medium,35902,Theft,High,5,No,Rural,60081,139,0
CASE_5162,UK,2023-05-10,England,Manchester Crown Court,Crown Court,33,Male,Asian British,Medium,43802,Fraud,Medium,5,No,Rural,3080,134,0
CASE_5163,UK,2023-03-29,England,Birmingham Magistrates' Court,Magistrates Court,62,Male,Other,High,142079,Assault,Medium,3,No,Rural,3865,76,0
CASE_5164,UK,2023-01-20,England,Manchester Crown Court,Crown Court,64,Female,Mixed,Medium,32587,Assault,Low,2,Yes,Urban,275,58,1
CASE_5165,UK,2023-06-06,Scotland,Glasgow Sheriff Court,Magistrates Court,61,Male,White British,Low,14647,Fraud,Medium,1,Yes,Rural,10538,255,1
CASE_5166,UK,2022-06-27,Wales,Cardiff Crown Court,Crown Court,54,Female,Mixed,High,260227,WhiteCollar,High,0,Yes,Rural,39759,133,1
CASE_5167,UK,2022-05-05,Wales,Cardiff Crown Court,Crown Court,63,Male,Mixed,Low,16678,Theft,High,0,No,Urban,34832,264,1
CASE_5168,UK,2023-06-05,Scotland,Glasgow Sheriff Court,Magistrates Court,26,Female,Mixed,Medium,50787,WhiteCollar,High,0,No,Rural,29680,187,0
CASE_5169,UK,2022-09-23,Scotland,Glasgow Sheriff Court,Magistrates Court,21,Male,Asian British,Low,12190,Theft,Medium,0,Yes,Urban,11048,164,1
CASE_5170,UK,2023-06-16,Wales,Cardiff Crown Court,Crown Court,41,Female,Asian British,Low,16032,Theft,High,3,No,Rural,63303,205,1
CASE_5171,UK,2022-01-22,Wales,Cardiff Crown Court,Crown Court,20,Female,Asian British,High,199761,Assault,High,2,No,Urban,81864,204,0
CASE_5172,UK,2024-01-04,Wales,Cardiff Crown Court,Crown Court,44,Male,Mixed,Medium,46740,Fraud,Low,2,No,Rural,1421,203,1
CASE_5173,UK,2023-04-29,England,Westminster Magistrates' Court,Magistrates Court,22,Female,Asian British,Medium,26440,Assault,Low,4,Yes,Urban,1831,93,1
